id,model,answer,confidence,latency_ms,raw,error,idx,gold_set,is_multi,correct,run_type
1,google/gemini-2.5-flash-lite,3,4,1221,"{""answer"":""3"",""confidence"":4}",,1,{'3'},False,1,few_shot
2,google/gemini-2.5-flash-lite,2,3,572,"{""answer"":""2"",""confidence"":3}",,2,{'2'},False,1,few_shot
3,google/gemini-2.5-flash-lite,4,4,554,"{""answer"":""4"",""confidence"":4}",,3,{'2'},False,0,few_shot
4,google/gemini-2.5-flash-lite,2,4,542,"{""answer"":""2"",""confidence"":4}",,4,{'4'},False,0,few_shot
5,google/gemini-2.5-flash-lite,1,4,589,"{""answer"":""1"",""confidence"":4}",,5,{'3'},False,0,few_shot
6,google/gemini-2.5-flash-lite,2,3,588,"{""answer"":""2"",""confidence"":3}",,6,{'3'},False,0,few_shot
7,google/gemini-2.5-flash-lite,4,4,680,"{""answer"":""4"",""confidence"":4}",,7,{'1'},False,0,few_shot
8,google/gemini-2.5-flash-lite,2,3,555,"{""answer"":""2"",""confidence"":3}",,8,{'4'},False,0,few_shot
9,google/gemini-2.5-flash-lite,2,4,612,"{""answer"":""2"",""confidence"":4}",,9,{'1'},False,0,few_shot
10,google/gemini-2.5-flash-lite,4,4,635,"{""answer"":""4"",""confidence"":4}",,10,{'3'},False,0,few_shot
11,google/gemini-2.5-flash-lite,2,3,584,"{""answer"":""2"",""confidence"":3}",,11,{'4'},False,0,few_shot
12,google/gemini-2.5-flash-lite,4,4,557,"{""answer"":""4"",""confidence"":4}",,12,{'4'},False,1,few_shot
13,google/gemini-2.5-flash-lite,1,4,586,"{""answer"":""1"",""confidence"":4}",,13,{'1'},False,1,few_shot
14,google/gemini-2.5-flash-lite,4,4,543,"{""answer"":""4"",""confidence"":4}",,14,{'4'},False,1,few_shot
15,google/gemini-2.5-flash-lite,2,4,533,"{""answer"":""2"",""confidence"":4}",,15,{'2'},False,1,few_shot
16,google/gemini-2.5-flash-lite,1,4,549,"{""answer"":""1"",""confidence"":4}",,16,{'1'},False,1,few_shot
17,google/gemini-2.5-flash-lite,3,4,541,"{""answer"":""3"",""confidence"":4}",,17,{'3'},False,1,few_shot
18,google/gemini-2.5-flash-lite,2,4,610,"{""answer"":""2"",""confidence"":4}",,18,{'1'},False,0,few_shot
19,google/gemini-2.5-flash-lite,3,4,547,"{""answer"":""3"",""confidence"":4}",,19,{'2'},False,0,few_shot
20,google/gemini-2.5-flash-lite,4,4,775,"{""answer"":""4"",""confidence"":4}",,20,{'4'},False,1,few_shot
21,google/gemini-2.5-flash-lite,4,4,558,"{""answer"":""4"",""confidence"":4}",,21,{'2'},False,0,few_shot
22,google/gemini-2.5-flash-lite,4,4,637,"{""answer"":""4"",""confidence"":4}",,22,{'3'},False,0,few_shot
23,google/gemini-2.5-flash-lite,4,4,511,"{""answer"":""4"",""confidence"":4}",,23,{'3'},False,0,few_shot
24,google/gemini-2.5-flash-lite,1,4,513,"{""answer"":""1"",""confidence"":4}",,24,{'1'},False,1,few_shot
25,google/gemini-2.5-flash-lite,2,4,566,"{""answer"":""2"",""confidence"":4}",,25,{'4'},False,0,few_shot
