id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5,votes_map_dict,vote_ratio_max,idx,gold_set,gold_primary,is_multi,correct,consensus_max,consensus_label,vote_ratio_bucket,conf_mean_bucket,lat_bucket,conf_std_runs,conf_mean_runs,answer_diversity,explain_len_words_run1,explain_len_words_run2,explain_len_words_run3,explain_len_words_run4,explain_len_words_run5,explain_len_words_mean,exp_len_bucket
1,meta-llama/llama-4-maverick,2,86.0,1.0,"{""2"": 5}",False,3075.2,4414,2,90.0,طبق ماده ۵۰ قانون آیین دادرسی کیفری، بازپرس یا دادستان یا دادگاه حسب مورد می‌توانند دستور ضبط اموال یا اشیا را بدهند.,,2,90.0,طبق ماده ۵۰ قانون آیین دادرسی کیفری، بازپرس و در غیاب او دادستان یا قاضی دیگری که به این منظور تعیین می‌کند، نسبت به توقیف و بازرسی و جمع‌آوری ادله و هر اقدام دیگری که برای کشف جرم و روشن شدن موضوع لازم است، اقدام می‌کند و در مواردی که دادگاه در حال رسیدگی است، دادگاه نیز می‌تواند این اختیارات را داشته باشد.,,2,80.0,طبق قانون آیین دادرسی کیفری، اختیارات مربوط به ضبط اموال یا اشیا در مراحل مختلف رسیدگی به حسب مورد به بازپرس، دادستان یا دادگاه تفویض شده است. ماده ۵۰ و ۵۱ قانون آیین دادرسی کیفری به این موضوع اشاره دارد.,,2,90.0,طبق قانون آیین دادرسی کیفری، اختیارات مربوط به ضبط اموال یا اشیا در برخی موارد به بازپرس، در برخی به دادستان و در شرایطی به دادگاه محول شده است. مطابق ماده ۵۰ قانون آیین دادرسی کیفری، بازپرس، دادستان یا دادگاه حسب مورد می‌توانند دستور ضبط اموال یا اشیا را صادر کنند. این امر نشان‌دهنده تقسیم اختیارات بین مراجع قضایی مختلف بر اساس شرایط خاص است.,,2,80.0,طبق قانون آیین دادرسی کیفری، اختیارات مربوط به ضبط اموال یا اشیا در برخی موارد به بازپرس، در برخی به دادستان و در شرایط خاصی به دادگاه محول شده است.ماده ۵۰ و ۵۱ ق.آ.د.ک.,,{'2': 5},1.0,1,{'3'},3,False,0,5,5/5,0.9-1.0,,3-5s,5.477225575051661,86.0,1.0,22,63,40,65,34,44.8,40-80
3,meta-llama/llama-4-maverick,4,96.7,0.5,"{""4"": 3, ""2"": 1, ""3"": 2}",False,3530.2,7521,4,100.0,طبق ماده ۴۲۶ قانون آیین دادرسی کیفری، قرار عدم صلاحیت دادگاه کیفری یک، صرفاً از سوی دادستان قابل تجدید نظر است.,,2,90.0,طبق ماده ۴۲۶ قانون آیین دادرسی کیفری، قرار عدم صلاحیت دادگاه کیفری یک قابل تجدیدنظرخواهی نزد دیوان عالی کشور است و این حق برای دادستان و شاکی یا مدعی خصوصی وجود دارد.,,3,90.0,طبق ماده ۴۲۳ قانون آیین دادرسی کیفری، قرار عدم صلاحیت دادگاه کیفری یک، قطعی است.,,3,90.0,طبق ماده ۴۲۳ قانون آیین دادرسی کیفری، قرار عدم صلاحیت دادگاه کیفری یک، قطعی است.,,4,100.0,طبق ماده ۴۶۱ قانون آیین دادرسی کیفری، قرار عدم صلاحیت دادگاه کیفری یک، صرفاً از سوی دادستان قابل تجدیدنظر است.,,"{'4': 3, '2': 1, '3': 2}",0.5,3,{'2'},2,False,0,2,2/5,0-0.6,,3-5s,5.477225575051661,94.0,3.0,21,32,15,15,20,20.6,20-40
4,meta-llama/llama-4-maverick,2,86.7,0.5,"{""1"": 2, ""2"": 3, ""3"": 1}",False,3581.7,10057,1,80.0,طبق ماده 504 قانون آیین دادرسی کیفری، در جرایم تعزیری، چنانچه محکوم‌علیه پس از صدور حکم قطعی مبتلا به جنون شود، اجرای حکم تا زمان بهبودی وی به تعویق می‌افتد.,,1,90.0,طبق ماده ۵۰۶ قانون آیین دادرسی کیفری، در جرایم تعزیری ابتلای محکوم‌علیه به جنون پس از صدور حکم قطعی، اجرای حکم را تا زمان افاقه متوقف می‌کند.,,2,80.0,طبق ماده ۵۰۶ قانون آیین دادرسی کیفری، در جرایم تعزیری، چنانچه محکوم‌علیه پس از صدور حکم قطعی مبتلا به جنون شود، اجرای حکم تا زمان بهبودی او متوقف می‌شود. بنابراین اجرای حکم موقوف می‌شود.,,3,90.0,طبق ماده ۵۰۶ قانون آیین دادرسی کیفری، در صورتی که محکومٌ علیه به علت ابتلا به جنون یا بیماری دیگر، تحمل مجازات یا اجرای آن برای وی ممکن نباشد، اجرای مجازات یا ادامه آن موقوف می‌شود. قاضی اجرای احکام کیفری موظف است با لحاظ شرایط مندرج در این ماده، قرار موقوفی اجرای مجازات را صادر کند.,,2,90.0,طبق ماده ۵۰۶ قانون آیین دادرسی کیفری، در جرایم تعزیری ابتلای محکوم علیه به جنون پس از صدور حکم قطعی، موجب توقف اجرای حکم است. قاضی اجرای احکام کیفری با روشن شدن وضعیت روانی محکوم علیه، اجرای حکم را ادامه می‌دهد.,,"{'1': 2, '2': 3, '3': 1}",0.5,4,{'4'},4,False,0,2,2/5,0-0.6,,3-5s,5.477225575051661,86.0,3.0,30,27,34,56,41,37.6,20-40
5,meta-llama/llama-4-maverick,4,92.0,1.0,"{""4"": 5}",False,3050.4,4135,4,90.0,طبق ماده ۳۰۴ قانون آیین دادرسی کیفری، در جرایم تعزیری درجه هفت و هشت و جرایم مستلزم پرداخت دیه یا ارش به میزان نصف دیه کامل یا کمتر از آن، تعیین وکیل تسخیری برای اطفال و نوجوانان الزامی نیست.,,4,90.0,طبق ماده ۳۴ قانون آیین دادرسی کیفری، تعیین وکیل تسخیری برای اطفال و نوجوانان در جرایم تعزیری درجه ۷ و ۸ و همچنین در جرایم مستلزم پرداخت دیه یا ارش به میزان نصف دیه کامل یا کمتر از آن الزامی نیست. این موضوع در قانون مذکور صراحتاً ذکر شده است.,,4,90.0,طبق ماده ۳۴ قانون آیین دادرسی کیفری، تعیین وکیل تسخیری برای اطفال و نوجوانان در جرایم تعزیری درجه ۷ و ۸ و همچنین در جرایم مستلزم پرداخت دیه یا ارش به میزان نصف دیه کامل یا کمتر از آن الزامی نیست.,,4,100.0,طبق ماده ۳۴ قانون آیین دادرسی کیفری، تعیین وکیل تسخیری برای اطفال و نوجوانان در جرایم تعزیری درجه ۷ و ۸ و همچنین در جرایم مستلزم پرداخت دیه یا ارش به میزان نصف دیه کامل یا کمتر از آن الزامی نیست. این موضوع در ماده مذکور صراحتاً ذکر شده است.,,4,90.0,طبق ماده ۳۴ قانون آیین دادرسی کیفری، تعیین وکیل تسخیری برای اطفال و نوجوانان در جرایم تعزیری درجه ۷ و ۸ و همچنین در جرایم مستلزم پرداخت دیه یا ارش به میزان نصف دیه کامل یا کمتر از آن الزامی نیست.,"Invalid answer: {""explanation"":""شرط وکالت زن در طلاق می‌تواند در قالب شرط نتیجه یا فعل در ضمن عقد نکاح یا سایر عقود دیگر بررسی شود. با توجه به شرایط داده شده، گزینه صحیح باید منطبق با یکی از شرایط مندرج در متن باشد."",""answer"":""1""}",{'4': 5},1.0,5,{'3'},3,False,0,5,5/5,0.9-1.0,,3-5s,4.47213595499958,92.0,1.0,39,50,41,50,41,44.2,40-80
6,meta-llama/llama-4-maverick,2,90.0,1.0,"{""2"": 5}",False,15278.0,35664,2,90.0,طبق ماده ۲۴۲ قانون آیین دادرسی کیفری، در جرایم غیرعمدی، در صورتی که به تشخیص مقام قضایی، تضمین حقوق بزه‌دیده به طریق دیگر امکان‌پذیر باشد، صدور قرار کفالت و وثیقه جایز نیست.,,2,90.0,طبق ماده ۲۴۲ قانون آیین دادرسی کیفری، در جرایم غیرعمدی در صورتی که به تشخیص مقام قضایی، تضمین حقوق بزه‌دیده به طریق دیگر امکان‌پذیر باشد، صدور قرار کفالت و وثیقه جایز نیست.,,2,90.0,طبق ماده ۲۴۲ آیین دادرسی کیفری، در جرایم غیرعمدی در صورتی که به تشخیص مقام قضایی، تضمین حقوق بزه‌دیده به طریق دیگر امکان‌پذیر باشد، صدور قرار کفالت و وثیقه جایز نیست.,,2,90.0,طبق ماده ۲۴۲ قانون آیین دادرسی کیفری، در جرایم غیرعمدی، در صورتی که به تشخیص مقام قضایی، تضمین حقوق بزه‌دیده به طریق دیگر امکان‌پذیر باشد، صدور قرار کفالت و وثیقه جایز نیست.,,2,90.0,طبق ماده ۲۴۲ قانون آیین دادرسی کیفری، در جرایم غیرعمدی، در صورتی که به تشخیص مقام قضایی، تضمین حقوق بزه‌دیده به طریق دیگر امکان‌پذیر باشد، صدور قرار کفالت و وثیقه جایز نیست.,,{'2': 5},1.0,6,{'3'},3,False,0,5,5/5,0.9-1.0,,>10s,0.0,90.0,1.0,32,32,31,32,32,31.8,20-40
8,meta-llama/llama-4-maverick,1,83.3,0.6,"{""1"": 3, ""3"": 1, ""2"": 1}",False,7309.4,24575,1,80.0,طبق ماده 199 قانون آیین دادرسی کیفری، وكيل مي‌تواند به جاي موكل سوگند ياد كند، اعم از اينكه وكالت در امر كيفري داشته يا در وكالت‌نامه‌اش تصريح شده يا نشده باشد. بنابراین گزینه 1 نادرست است.,,3,90.0,طبق ماده 1321 قانون مدنی، سوگند از امور غیرقابل توکیل نیست و می‌توان به دیگری وکالت در سوگند دادن یا خوردن داد. بنابراین گزینه 3 نادرست است زیرا تقاضای سوگند قابل توکیل است.,No valid JSON in response,1,90.0,طبق ماده 199 قانون آیین دادرسی کیفری، وکيل نمي‌تواند به جاي موكل سوگند ياد كند مگر آنكه در وكالت‌نامه تصريح شده باشد كه وكيل حق سوگند به‌جاي موكل را داشته باشد. بنابراین گزینه 1 نادرست است.,,2,80.0,طبق قانون آیین دادرسی کیفری، سوگند باید توسط خود شخص ادا شود و وکالت در آن راه ندارد. مطابق ماده 202 قانون آیین دادرسی کیفری، «سوگند به وسیله اصحاب دعوی ادا می‌شود و قابل توکیل نیست». بنابراین گزینه 1 و 3 صحیح هستند. همچنین، طبق اصل 173 قانون اساسی، در خصوص حق الناس بودن سوگند، ادعای حقوقی باید توسط صاحب حق پیگیری شود. پس گزینه 4 نیز صحیح است. اما ماده 204 قانون آیین دادرسی کیفری بیان می‌دارد که «وکلا نمی‌توانند به جای موکل یا طرف خود سوگند یاد کنند مگر آنکه در وکالت نامه تصریح به سوگند شده باشد». پس وکیل می‌تواند با داشتن وکالت نامه‌ای که در آن به سوگند تصریح شده، طرف دعوا را سوگند دهد و گزینه 2 صحیح است. بنابراین، ادعای نادرست بودن باید در خصوص گزینه‌ای باشد که مطابق قانون نباشد.,,1,80.0,طبق ماده 1310 قانون مدنی، سوگند به وسیله نماینده قانونی یا وکیل دادگستری با رعایت شرایطی که قانون معین می کند، جاری می شود. همچنین ماده 199 قانون آیین دادرسی کیفری بیان می دارد که «در امور کیفری، وکیل می تواند موکل خود را سوگند دهد مشروط بر آنکه در وکالت نامه تصریح به این امر شده باشد». بنابراین گزینه 2 صحیح است. از طرفی، اصل بر این است که سوگند باید توسط خود شخص ادا شود و قابل توکیل نیست. بنابراین گزینه 3 صحیح است. در خصوص حق الناس، سوگند منوط به مطالبه صاحب حق است که در ماده 202 قانون آیین دادرسی کیفری به آن اشاره شده است. پس گزینه 4 صحیح است. اما وکیل نمی تواند به جای موکل سوگند یاد کند، مگر در مواردی که قانون اجازه داده است. با توجه به ماده 1310 قانون مدنی و شرایط آن، وکیل می تواند در برخی موارد به جای موکل سوگند بخورد. پس گزینه 1 نادرست است.,,"{'1': 3, '3': 1, '2': 1}",0.6,8,{'4'},4,False,0,3,3/5,0-0.6,,5-10s,5.477225575051661,84.0,3.0,36,33,36,137,159,80.2,80-160
9,meta-llama/llama-4-maverick,2,94.0,1.0,"{""2"": 5}",False,2278.2,2527,2,90.0,طبق ماده ۴۶۹ قانون آیین دادرسی کیفری، چنانچه دیوان عالی کشور به یکی از جهات قانونی، متهم را غیرقابل تعقیب بداند، رای را نقض و قرار منع تعقیب یا موقوفی تعقیب صادر می‌کند و در این صورت رأی صادره نقض بلاارجاع خواهد بود.,,2,90.0,طبق ماده ۴۶۱ قانون آیین دادرسی کیفری، اگر رأی بر اساس جهات مندرج در ماده ۴۵۵ (از جمله عدم قابلیت تعقیب) نقض شود، شعبه دیوان عالی کشور رأی را نقض و پرونده را به دادگاه هم عرض ارجاع می‌دهد یا در مواردی که نقض رأی بلا ارجاع باشد، رأی نقض بلا ارجاع صادر میشود. در این سناریو با توجه به عدم قابلیت تعقیب متهم، رأی نقض بلا ارجاع میشود.,,2,100.0,طبق ماده ۴۶۱ قانون آیین دادرسی کیفری، چنانچه دیوان عالی کشور به این نتیجه برسد که متهم قابل تعقیب نیست، رأی را نقض و پرونده را بلاارجاع می‌کند. این موضوع در ماده مذکور به صراحت بیان شده است.,,2,90.0,طبق ماده ۴۶۱ قانون آیین دادرسی کیفری، چنانچه دیوان عالی کشور به این نتیجه برسد که متهم قابل تعقیب نیست، رای را نقض و پرونده را بلاارجاع می کند. این موضوع در بند ب ماده مذکور تصریح شده است.,,2,100.0,طبق ماده ۴۶۱ قانون آیین دادرسی کیفری، چنانچه دیوان عالی کشور به جهتی رأی را نقض کند و متهم قابل تعقیب نباشد، رأی نقض بلاارجاع صادر می‌شود. این موضوع در قانون آیین دادرسی کیفری صراحتاً ذکر شده است.,,{'2': 5},1.0,9,{'1'},1,False,0,5,5/5,0.9-1.0,,2-3s,5.477225575051661,94.0,1.0,43,69,38,39,38,45.4,40-80
10,meta-llama/llama-4-maverick,4,87.5,0.8,"{""1"": 1, ""4"": 4}",False,1901.0,2982,1,90.0,دادستان کل کشور مطابق ماده 477 قانون آیین دادرسی کیفری در مواردی که احکام قطعی صادره درخصوص حقوق عامه و برخی دعاوی خاص را مغایر شرع بین تشخیص دهد می‌تواند مراتب را جهت اعمال ماده 477 به رئیس قوه قضاییه اعلام کند.,,4,90.0,طبق ماده 477 قانون آیین دادرسی کیفری، دادستان کل کشور می‌تواند در صورت اعتقاد به وجود اشتباه یا عدم انطباق با موازین شرعی یا قانونی در احکام قطعی، مراتب را به رئیس قوه قضاییه اعلام کند. این ماده شامل احکام مربوط به حقوق عامه، امور خیریه و اوقاف عامه و غیره می‌شود.,,4,80.0,دادستان کل کشور می تواند در مواردی که احکام قطعی صادره خلاف شرع یا قانون تشخیص دهد، مراتب را جهت اعمال ماده 477 قانون آیین دادرسی کیفری به رئیس قوه قضاییه اعلام کند. این موضوع در ماده 477 و نیز سایر مقررات قانونی مرتبط پیش بینی شده است.,,4,90.0,دادستان کل کشور می تواند در صورت تشخیص خلاف شرع بودن یا مغایر بودن با قانون احکام قطعی مربوط به حقوق عامه و برخی دعاوی خاص، مراتب را جهت اعمال ماده 477 قانون آیین دادرسی کیفری به رئیس قوه قضاییه اعلام کند؛ طبق ماده 477 قانون آیین دادرسی کیفری، رئیس قوه قضائیه می تواند در صورت وجود جهات قانونی، پرونده را جهت رسیدگی به دیوان عالی کشور ارسال کند.,,4,90.0,دادستان کل کشور می تواند در صورت تشخیص خلاف شرع بودن یا مغایر بودن با قانون احکام قطعی مربوط به حقوق عامه و برخی دعاوی خاص، مراتب را جهت اعمال ماده 477 قانون آیین دادرسی کیفری به رئیس قوه قضاییه اعلام کند. مطابق ماده 477 قانون آیین دادرسی کیفری، رئیس قوه قضاییه می تواند در صورت وجود تقاضای دادستان کل کشور، احکام قطعی را در صورت مغایرت با شرع یا قانون، جهت رسیدگی به دیوان عالی کشور ارسال کند.,,"{'1': 1, '4': 4}",0.8,10,{'3'},3,False,0,4,4/5,0.7-0.8,,1-2s,4.47213595499958,88.0,2.0,42,52,48,69,79,58.0,40-80
12,meta-llama/llama-4-maverick,2,98.0,1.0,"{""2"": 5}",False,1345.4,1787,2,90.0,طبق اصل ۵۳ قانون اساسی، لایحه بودجه کل کشور توسط دولت تهیه و برای تصویب به مجلس شورای اسلامی تقدیم می‌شود.,,2,100.0,طبق اصل ۵۳ قانون اساسی، «بودجه ی کل کشور به پیشنهاد دولت به مجلس شورای اسلامی تسلیم می گردد».,,2,100.0,طبق اصل ۵۵ قانون اساسی، تهیه و تنظیم بودجه کل کشور بر عهده دولت است.,,2,100.0,طبق اصل ۵۳ قانون اساسی، «بودجه کل کشور به پیشنهاد دولت به مجلس شورای اسلامی تقدیم می‌گردد».,,2,100.0,طبق اصل ۵۳ قانون اساسی، «بودجه کل کشور به پیشنهاد دولت به مجلس شورای اسلامی تقدیم می‌گردد».,,{'2': 5},1.0,12,{'4'},4,False,0,5,5/5,0.9-1.0,,1-2s,4.47213595499958,98.0,1.0,21,19,15,17,17,17.8,10-20
13,meta-llama/llama-4-maverick,4,92.0,1.0,"{""4"": 5}",False,2142.4,2667,4,90.0,طبق اصل 45 قانون اساسی، انفال و ثروت‌های عمومی در اختیار حکومت اسلامی است و از جمله مصادیق آن «نیزارها و بیشه‌های طبیعی» ذکر شده است.,,4,100.0,طبق اصل 45 قانون اساسی، انفال و ثروتهای عمومی در اختیار حکومت اسلامی است و شامل معادن، نیزارها و بیشه های طبیعی می‌شود. ماده مربوط به اصل مذکور صراحتا به نیزارها و بیشه های طبیعی اشاره کرده است. اصل 45 قانون اساسی.,,4,90.0,طبق اصل 45 قانون اساسی، انفال و ثروت‌های عمومی در اختیار حکومت اسلامی است و شامل معادن، نیزارها و بیشه‌های طبیعی می‌شود. ماده‌ای از قانون مدنی یا قانون خاصی مستقیماً به این موضوع اشاره نکرده اما اصل 45 قانون اساسی به صراحت نیزارها و بیشه‌های طبیعی را جزء انفال ذکر کرده است.,,4,90.0,طبق اصل 45 قانون اساسی، انفال و ثروت‌های عمومی شامل معادن، دریاها، نیزارها و بیشه‌های طبیعی است. بنابراین، نیزارها و بیشه‌های طبیعی به عنوان یکی از مصادیق انفال و ثروت‌های عمومی ذکر شده‌اند. اصل 45 ق.ا.,,4,90.0,طبق اصل 45 قانون اساسی، انفال و ثروتهای عمومی از جمله معادن، نیزارها و بیشه های طبیعی در اختیار حکومت اسلامی است.,,{'4': 5},1.0,13,{'1'},1,False,0,5,5/5,0.9-1.0,,2-3s,4.47213595499958,92.0,1.0,26,42,52,36,22,35.6,20-40
