id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error,idx,gold_set,is_multi,correct
1,openai/gpt-oss-20b,1,4.0,ماده 112 قانون مدنی می‌گوید انفساخ عقد می‌تواند بر اساس توافق طرفین صورت گیرد؛ اما سبب انفساخ حذف نمی‌شود و فقط امکان انفساخ وجود دارد.,15338,587.0,1839.0,2426.0,135.0,25.0,"{""explanation"":""ماده 112 قانون مدنی می‌گوید انفساخ عقد می‌تواند بر اساس توافق طرفین صورت گیرد؛ اما سبب انفساخ حذف نمی‌شود و فقط امکان انفساخ وجود دارد."",""answer"":""1"",""confidence"":4}",,1,{'3'},False,0
2,openai/gpt-oss-20b,2,3.0,ماده ۵ قانون بیمه اجباری مقرر می‌کند که بیمهگر مسئول خسارت‌های شخص ثالث را تا سقف تعهدات خود پرداخت کند؛ خسارت‌های شخص «الف» پوشش نمی‌یابد. بنابراین بیمهگر دیه شخص «ب» و خسارت مالی موتورسیکلت را تا سقف تعهدات خود جبران می‌کند.,8351,717.0,1500.0,2217.0,226.0,41.0,"{""explanation"":""ماده ۵ قانون بیمه اجباری مقرر می‌کند که بیمهگر مسئول خسارت‌های شخص ثالث را تا سقف تعهدات خود پرداخت کند؛ خسارت‌های شخص «الف» پوشش نمی‌یابد. بنابراین بیمهگر دیه شخص «ب» و خسارت مالی موتورسیکلت را تا سقف تعهدات خود جبران می‌کند."",""answer"":""2"",""confidence"":3}",,2,{'2'},False,1
3,openai/gpt-oss-20b,4,5.0,ماده ۲ قانون مدنی می‌گوید که تصرف به‌تنهایی می‌تواند سبب مملکیت باشد؛ اگر تصرف همراه با قصد تملک باشد، مالکیت حاصل می‌شود.,7352,588.0,1127.0,1715.0,122.0,22.0,"{""explanation"":""ماده ۲ قانون مدنی می‌گوید که تصرف به‌تنهایی می‌تواند سبب مملکیت باشد؛ اگر تصرف همراه با قصد تملک باشد، مالکیت حاصل می‌شود."",""answer"":""4"",""confidence"":5}",,3,{'2'},False,0
4,openai/gpt-oss-20b,4,5.0,ماده 5 قانون بیمه مسئولیت مدنی می‌گوید که بیمه‌گر ملزم به پرداخت خسارت است؛ بنابراین در صورت وجود پوشش بیمه، بیمه‌گر مسئول پرداخت دیه کامل است و پزشک پس از پرداخت می‌تواند از بیمه‌گر مسترد کند.,5468,662.0,492.0,1154.0,193.0,36.0,"{""explanation"":""ماده 5 قانون بیمه مسئولیت مدنی می‌گوید که بیمه‌گر ملزم به پرداخت خسارت است؛ بنابراین در صورت وجود پوشش بیمه، بیمه‌گر مسئول پرداخت دیه کامل است و پزشک پس از پرداخت می‌تواند از بیمه‌گر مسترد کند."",""answer"":""4"",""confidence"":5}",,4,{'4'},False,1
5,openai/gpt-oss-20b,3,4.0,ماده ۱۲۲۹ قانون مدنی، وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل و در قالب عقد نکاح یا عقد دیگری باشد.,7774,570.0,918.0,1488.0,114.0,25.0,"{""explanation"":""ماده ۱۲۲۹ قانون مدنی، وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل و در قالب عقد نکاح یا عقد دیگری باشد."",""answer"":""3"",""confidence"":4}",,5,{'3'},False,1
6,openai/gpt-oss-20b,2,4.0,در هبه و وصیت تملیکی، طرفین (موصی یا متهب) می‌توانند غیرمحصور باشند؛ این امر در ماده 1120 قانون مدنی (ماده 1121 درباره قراردادهای عینی) تأیید شده است.,3419,626.0,2103.0,2729.0,150.0,27.0,"{""explanation"":""در هبه و وصیت تملیکی، طرفین (موصی یا متهب) می‌توانند غیرمحصور باشند؛ این امر در ماده 1120 قانون مدنی (ماده 1121 درباره قراردادهای عینی) تأیید شده است."",""answer"":""2"",""confidence"":4}",,6,{'3'},False,0
7,openai/gpt-oss-20b,1,5.0,مستعیران در عاربه طلا و نقره به تسهیم مسئولیت دارند؛ بر اساس قاعدهٔ عاربه، مسئولیت چند مستعیر در این نوع قرض به صورت تسهیم است.,26337,590.0,683.0,1273.0,127.0,25.0,"{""explanation"":""مستعیران در عاربه طلا و نقره به تسهیم مسئولیت دارند؛ بر اساس قاعدهٔ عاربه، مسئولیت چند مستعیر در این نوع قرض به صورت تسهیم است."",""answer"":""1"",""confidence"":5}",Model returned no text content,7,{'1'},False,1
8,openai/gpt-oss-20b,2,4.0,ماده 1060 قانون مدنی: اگر ثمن در مدت مقرر پرداخت نشود، فروشنده حق فسخ دارد؛ همچنین قبول حواله به معنای پرداخت ثمن نیست، بنابراین فروشنده می‌تواند معامله را فسخ کند یا دعوا برای مبلغ حواله علیه محال علیه مطرح کند.,5129,685.0,880.0,1565.0,212.0,40.0,"{""explanation"":""ماده 1060 قانون مدنی: اگر ثمن در مدت مقرر پرداخت نشود، فروشنده حق فسخ دارد؛ همچنین قبول حواله به معنای پرداخت ثمن نیست، بنابراین فروشنده می‌تواند معامله را فسخ کند یا دعوا برای مبلغ حواله علیه محال علیه مطرح کند."",""answer"":""2"",""confidence"":4}",,8,{'4'},False,0
9,openai/gpt-oss-20b,3,3.0,ماده 112۱ قانون مدنی مقرر می‌کند که شخصی که به دلیل اضطراب یا اجباری (مضطر) عمل کند، مسئولیت مدنی بر عهده ندارد؛ بنابراین او در برابر زیان دیده مسئولیت نخواهد داشت.,13499,658.0,1556.0,2214.0,164.0,31.0,"{""explanation"":""ماده 112۱ قانون مدنی مقرر می‌کند که شخصی که به دلیل اضطراب یا اجباری (مضطر) عمل کند، مسئولیت مدنی بر عهده ندارد؛ بنابراین او در برابر زیان دیده مسئولیت نخواهد داشت."",""answer"":""3"",""confidence"":3}",Model returned no text content,9,{'1'},False,0
10,openai/gpt-oss-20b,4,5.0,ماده 1120 قانون مدنی می‌گوید وصی می‌تواند اختیار خود را برای انجام امور وصایت به شخص دیگری واگذار کند، اما تعیین وصی دیگر پس از فوت او توسط خود وصی امکان‌پذیر نیست؛ چون وصی‌گری توسط شخص دارای حق وص (پدر) تعیین می‌شود.,4699,682.0,683.0,1365.0,217.0,42.0,"{""explanation"":""ماده 1120 قانون مدنی می‌گوید وصی می‌تواند اختیار خود را برای انجام امور وصایت به شخص دیگری واگذار کند، اما تعیین وصی دیگر پس از فوت او توسط خود وصی امکان‌پذیر نیست؛ چون وصی‌گری توسط شخص دارای حق وص (پدر) تعیین می‌شود."",""answer"":""4"",""confidence"":5}",,10,{'3'},False,0
